latitude,longitude,tile_x,tile_y,tile_z,road_name,Status
43.7296303,7.4174924,34118,23898,16,Avenue des Papalins,
43.7296727,7.4174638,34118,23898,16,Avenue des Papalins,
43.7297138,7.4174191,34118,23898,16,Avenue des Papalins,
43.7297725,7.4173286,34118,23898,16,Avenue des Papalins,
43.730017,7.4168917,34118,23898,16,Avenue Albert II,
43.7299324,7.4167819,34118,23898,16,Avenue Albert II,
43.7287089,7.4148008,34117,23898,16,,
43.7286374,7.4148635,34117,23898,16,,
43.7286582,7.4148939,34117,23898,16,Avenue de Fontvieille,
43.7281825,7.4167776,34118,23898,16,Avenue des Castelans,
43.72838,7.4165003,34118,23898,16,Avenue des Castelans,
43.7284592,7.4163655,34118,23898,16,Avenue des Castelans,
43.7285095,7.4162353,34118,23898,16,Avenue des Castelans,
43.7281442,7.4169449,34118,23898,16,Rue du Campanin,
43.7281477,7.4170695,34118,23898,16,Rue du Campanin,
43.7281684,7.4172435,34118,23898,16,Rue du Campanin,
43.7282122,7.4175433,34118,23898,16,Rue du Campanin,
43.7282182,7.4172408,34118,23898,16,,
43.7281172,7.4172565,34118,23898,16,,
43.7289873,7.4143945,34117,23898,16,Avenue de Fontvieille,
43.7290323,7.4143369,34117,23898,16,Avenue de Fontvieille,
43.7280669,7.4141701,34117,23898,16,Rue de l'Industrie,
43.7280148,7.4140961,34117,23898,16,Rue de l'Industrie,
43.7280484,7.414201,34117,23898,16,,
43.7279204,7.4143741,34117,23898,16,,
43.727894,7.4144215,34117,23898,16,,
43.7278448,7.4144049,34117,23898,16,Avenue des Castelans,
43.7279372,7.414491,34117,23898,16,,
